ID,TITLE,PRICE,BRAND,STRING_CONGIGURATION,MODEL_YEAR,SHIPPING_NUM,SELLER_NUM
384267943925,LJ-10 Student Electric Guitar Kit - Single Cutaway,862.45,does,,,15,14
124806979748,LETZ PAUL P 90 PICKUPS,"1,551.03",,,,16,15
124806979751,LP STD FLAME TOP,913.51,,,,17,7
384263325943,Zerberus Hydr,"3,203.70",zerberus,na,na,2,2
274862451499,guitar Shipped from Japan Good condition Free shipping,"4,056.15",ibanez,,,4,9
254995429462,Greco LG-70,"2,342.63",greco,,,5,5
124806979770,LP STUDIO,"1,084.55",,,,16,7
274863479008,FENDER Customshop 1964 JazzBass Relic Neck is Freedom and custom order,"13,151.44",fender,,,4,4
124806978975,1989 WESTONE SPECTRUM,"1,749.28",,,,12,15
274862445413,Fender Japan ST71 / AYS YWH Ayouth * Inventory disposal special pric,"4,986.65",fender,,,4,4
304061831010,Gretsch G5655T Csg,"4,875.28",gretsch,na,na,1,1
304061831033,Fujigen Nls101-Ag,"4,688.53",fujigen,na,na,1,1
184936108499,FENDER CTL-50M Telecaster Electric Guitar Natural Perfect Packing From Japan,"4,990.71",fender,na,na,18,16
124807169956,90's BC RICH ASSASSIN CUSTOM - NECK THROUGH BODY - made in USA,"5,434.42",,,,19,7
265225353920,EPIHONE 1967 Olympic 2Pickup Cherry,"12,374.96",epihone,,,5,17
124806973619,80's ROBIN RAIDER,"2,915.46",,,,20,15
274863479142,[In translation] [Used] FERNANDES FST-85 CAR [Floyd rose frt-7 installed] [RH653,"3,250.16",fernandez,,,4,4
274862443929,Fender Fender guitar Shipped from Japan Good condition Free shipping,"4,970.27",fender,,,4,4
274862451496,Fernandez FERNANDES Guitar with built-in amplifier DIGI-ZO ULTIMA,"3,771.10",fernandez,,,4,9
294243558895,Usa George Fullerton Signature Rare Model With High Perfection,"7,117.39",no,na,na,21,18
304061830986,Aria Pro Gerry Mcgee Mod,"5,461.76",aria,na,na,1,1
304061831032,Ibanez Rg652Ahm,"4,370.72",ibanez,na,na,1,1
304061621058,Fender Made In Japan Hybrid Ii Jazzmaster Rosewood Fingerboard Forest B,"5,186.54",no,na,na,1,1
304061830816,Mosrite 1964 Reissue Superrealgrade 0031,"11,532.93",mosrite,na,na,1,1
124806978981,KORG POLYSIX,"7,346.97",,,,2,2
373633055637,Caparison Dellinger Fx-Mbasc,"10,887.61",caparison,na,na,3,3
304062196364,GRECO EG 95,,greco,6,unknown,4,4
154526432362,KAWAI MoonSault FRT Electric Guitar with Hard Case Shipped from Japan,"20,090.89",kawai,,,5,5
194236653181,Yamaha E-Gitarre SGV-800,"4,550.26",,,,6,6
304062533918,Squier Jazz Master White Lefty,"1,867.55",squier,6,unknown,7,4
174835599194,KILLER FLAME LP - TOP SOUND !,"2,717.21",,,,8,2
203515261005,Fender 2021 Collection Mij Traditional 60S Telecaster Roasted Maple Rp,"6,668.58",fender,na,na,9,7
274863478940,ESP x BanG Dream! 5 types of guitar & bass collection figur,"1,749.57",esp,,,10,8
255046558497,Fender ST62-115WAL,"9,082.18",fender,,,11,9
304061831065,Schecter Sd-2-24-Al/M Ctm Blk S1801162,"3,951.34",schecter,na,na,1,1
304061831082,Prs Electric Guitar Se Custom 24 Bp Nu C32584,"3,866.15",prs,na,na,1,1
373635262496,H.S.Anderson Hs-1,"9,383.12",h.s.anderson,na,na,3,10
274862447694,guitar Shipped from Japan Good condition Free shipping,"2,123.07",aria,,,10,11
384263325687,Yamaha Sc-1000 001489,"2,566.08",yamaha,na,na,12,12
174835598923,1978 GIBSON MARAUDER USA,"4,178.83",,,,13,2
274862447705,guitar Shipped from Japan Good condition Free shipping,"2,005.12",aria,,,10,8
274862447730,guitar Shipped from Japan Good condition Free shipping,"2,005.12",aria,,,10,11
274862445448,guitar Shipped from Japan Good condition Free shipping,"1,795.43",aria,,,10,11
274862443864,guitar Shipped from Japan Good condition Free shipping,"1,743.01",ibanez,,,10,11
274862445487,229  Greco SA-900 Super Real Project Grec,"7,371.87",greco,,,10,13
255049138302,Vanzandt STV-R2 / Candy Apple Red #8840 à3.53kg,"9,904.56",vanzandt,,,11,9
265225957312,Vanzandt TLV-R2 / Candy Apple Red #8855 à3.39kg,"9,537.60",vanzandt,,,11,9
124806960185,FENDER STRATOCASTER,"18,075.88",,,,14,2
274862447704,guitar Shipped from Japan Good condition Free shipping,"2,273.79",aria,,,10,11
274862447729,guitar Shipped from Japan Good condition Free shipping,"2,381.91",aria,,,10,13
274862446387,guitar Shipped from Japan Good condition Free shipping,"9,291.84",jackson,,,10,11
124806494453,Fender 1979 Stratocaster Electric Guitar with Hard Case Used,"8,200.83",fender,,,15,14
254945987470,Killer  KG-WISHBONE-V,"5,055.49",killer,,,11,15
124806978980,IBANEZ RG - SHARKFIN INLAYS,"1,360.55",,,,16,16
174835599539,IBANEZ RG - SHARKFIN INLAYS,"1,418.86",,,,17,2
274862446458,guitar Shipped from Japan Good condition Free shipping,"2,496.58",aria,,,10,13
254720866274,Westville Water,"16,496.68",westville,,,11,9
274862445401,guitar Shipped from Japan Good condition Free shipping,"2,391.74",greco,,,10,17
294243558600,Fujigen Telecaster L130837,,fujigen,na,na,18,18
304061830883,nberg Electric Guitar Dtv-Clh 170314,"8,105.81",duesenberg,na,na,1,1
274862447717,guitar Shipped from Japan Good condition Free shipping,"2,277.07",ibanez,,,10,13
274862447681,Fernandez guitar Shipped from Japan Good condition Free shipping,"2,388.46",fernandez,,,10,13
274863479134,Fender  American Standard Stratocaster mod / 3CS / 2004 / Custom shop PU,"4,901.46",fender,,,10,17
274862443804,Fernandez guitar Shipped from Japan Good condition Free shipping,"1,811.82",fernandez,,,10,17
274862446445,[Up to 79% OFF] ZO-3 dedicated strings GSZ-500 Electric guitar strings Fernandez,"1,690.59",fernandez,,,10,13
274862447671,guitar Shipped from Japan Good condition Free shipping,"2,450.71",aria,,,10,17
124807143506,1960 EPIPHONE by GIBSON MELODY MAKER USA - 50's LES PAUL / FLYING V FINGERBOAR,"8,191.00",epiphone,,,19,2
274862447740,BURNY RSA-65 CHERRY No.086420 Maintenance completed!,"3,119.10",fernandez,,,10,17
